Country,Code,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
Brazil,76,2021,Tourism expenditure (millions of US dollars),TF,,3005,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
British Virgin Islands,92,2010,Tourism expenditure (millions of US dollars),TF,,389,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Brunei Darussalam,96,2021,Tourism expenditure (millions of US dollars),TF,,2,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Bulgaria,100,2021,Tourism expenditure (millions of US dollars),TF,,2734,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Burkina Faso,854,2020,Tourism expenditure (millions of US dollars),THS,,128,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Burundi,108,2010,Tourism expenditure (millions of US dollars),TF,,2,Break in the time series.;Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Cabo Verde,132,2021,Tourism expenditure (millions of US dollars),THS,,144,Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Cambodia,116,2021,Tourism expenditure (millions of US dollars),TF,,197,Arrivals by all means of transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Cameroon,120,2021,Tourism expenditure (millions of US dollars),TF,,508,Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Canada,124,2010,Tourism expenditure (millions of US dollars),TF,,18440,Data based on customs counts and adjusted using questionnaire surveys.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Cayman Islands,136,2020,Tourism expenditure (millions of US dollars),TF,,260,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Central African Republic,140,2020,Tourism expenditure (millions of US dollars),TF,,31,Arrivals by air at Bangui only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Chad,148,1995,Tourism expenditure (millions of US dollars),TF,,43,Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Chile,152,2021,Tourism expenditure (millions of US dollars),TF,,633,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
China,156,2021,Tourism expenditure (millions of US dollars),TF,,11328,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Excluding passenger transport.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
"China, Hong Kong SAR",344,2019,Tourism expenditure (millions of US dollars),TF,,32697,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
"China, Macao SAR",446,2021,Tourism expenditure (millions of US dollars),TF,,15679,"Does not include other non-residents namely workers, students, etc.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Colombia,170,2021,Tourism expenditure (millions of US dollars),TF,,2939,Including nationals residing abroad.;Arrivals of non-resident travellers by immigration checkpoints.;The nationals residing abroad are calculated with the country of residence reported at the exit.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Comoros,174,2021,Tourism expenditure (millions of US dollars),TF,,72,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Congo,178,2020,Tourism expenditure (millions of US dollars),TF,,6,Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Cook Islands,184,2021,Tourism expenditure (millions of US dollars),TF,,43,Air and sea arrivals.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Costa Rica,188,2021,Tourism expenditure (millions of US dollars),TF,,1707,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Croatia,191,2021,Tourism expenditure (millions of US dollars),TCE,,10891,Excluding arrivals in ports of nautical tourism.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Cuba,192,2021,Tourism expenditure (millions of US dollars),TF,,417,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Curaçao,531,2021,Tourism expenditure (millions of US dollars),TF,,462,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Cyprus,196,2021,Tourism expenditure (millions of US dollars),TF,,2090,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Czechia,203,2021,Tourism expenditure (millions of US dollars),TF,,3356,Estimate.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Côte d’Ivoire,384,2020,Tourism expenditure (millions of US dollars),VF,,199,Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Dem. Rep. of the Congo,180,2021,Tourism expenditure (millions of US dollars),TF,,108,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Denmark,208,2021,Tourism expenditure (millions of US dollars),VF,,4507,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Djibouti,262,2021,Tourism expenditure (millions of US dollars),THS,,38,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Dominica,212,2021,Tourism expenditure (millions of US dollars),TF,,19,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Dominican Republic,214,2021,Tourism expenditure (millions of US dollars),TF,,5687,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Ecuador,218,2021,Tourism expenditure (millions of US dollars),VF,,1063,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Egypt,818,2021,Tourism expenditure (millions of US dollars),VF,,9499,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
El Salvador,222,2021,Tourism expenditure (millions of US dollars),TF,,1225,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Equatorial Guinea,226,1995,Tourism expenditure (millions of US dollars),,,1,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Eritrea,232,2005,Tourism expenditure (millions of US dollars),VF,,66,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Estonia,233,2021,Tourism expenditure (millions of US dollars),TF,,901,Based on mobile positioning data by the Bank of Estonia and Positium LBS.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Eswatini,748,2021,Tourism expenditure (millions of US dollars),TF,,8,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Ethiopia,231,2021,Tourism expenditure (millions of US dollars),TF,,2601,Including nationals residing abroad.;Arrivals through all ports of entry.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Fiji,242,2021,Tourism expenditure (millions of US dollars),TF,,66,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Finland,246,2021,Tourism expenditure (millions of US dollars),TF,,1541,Non-resident tourists staying in all types of accommodation establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
France,250,2021,Tourism expenditure (millions of US dollars),TF,,44402,Estimate.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
French Guiana,254,2005,Tourism expenditure (millions of US dollars),TF,,44,Survey at Cayenne-Rochambeau airport on departure.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
French Polynesia,258,2010,Tourism expenditure (millions of US dollars),TF,,630,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Gabon,266,2010,Tourism expenditure (millions of US dollars),TF,,89,Arrivals by air only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Gambia,270,2021,Tourism expenditure (millions of US dollars),TF,,67,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Georgia,268,2021,Tourism expenditure (millions of US dollars),TF,,1351,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Germany,276,2021,Tourism expenditure (millions of US dollars),TCE,,22113,Non-resident tourists staying in all types of accommodation establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Ghana,288,2021,Tourism expenditure (millions of US dollars),TF,,664,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Greece,300,2021,Tourism expenditure (millions of US dollars),TF,,13666,Information is based on the border survey conducted by the Bank of Greece.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Grenada,308,2021,Tourism expenditure (millions of US dollars),TF,,231,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Guadeloupe,312,2010,Tourism expenditure (millions of US dollars),TF,,510,"Arrivals by air.;Excluding the north islands, Saint Barthélemy and Saint Martin (French part).","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Guam,316,2021,Tourist/visitor arrivals (thousands),TF,,79,Air and sea arrivals.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Guatemala,320,2021,Tourism expenditure (millions of US dollars),TF,,393,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Guinea,324,2021,Tourism expenditure (millions of US dollars),TF,,13,Arrivals by air at Conakry airport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Guinea-Bissau,624,2020,Tourism expenditure (millions of US dollars),TF,,3,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Guyana,328,2021,Tourism expenditure (millions of US dollars),TF,,26,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Haiti,332,2021,Tourism expenditure (millions of US dollars),TF,,80,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Honduras,340,2021,Tourism expenditure (millions of US dollars),TF,,305,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Hungary,348,2021,Tourism expenditure (millions of US dollars),TF,,5783,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Iceland,352,2021,Tourism expenditure (millions of US dollars),TF,,1303,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
India,356,2021,Tourism expenditure (millions of US dollars),TF,,9135,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Indonesia,360,2021,Tourism expenditure (millions of US dollars),TF,,548,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Iran (Islamic Republic of),364,2010,Tourism expenditure (millions of US dollars),VF,,2631,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Iraq,368,2021,Tourism expenditure (millions of US dollars),VF,,1963,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Ireland,372,2021,Tourism expenditure (millions of US dollars),TF,,5206,Including tourists from Northern Ireland.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Israel,376,2021,Tourism expenditure (millions of US dollars),TF,,2427,Including the expenditures of foreign workers in Israel.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Italy,380,2021,Tourism expenditure (millions of US dollars),TF,,25355,Excluding seasonal and border workers.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Jamaica,388,2021,Tourism expenditure (millions of US dollars),TF,,2119,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Japan,392,2021,Tourism expenditure (millions of US dollars),VF,,5225,Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Jordan,400,2021,Tourism expenditure (millions of US dollars),TF,,3426,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Kazakhstan,398,2021,Tourism expenditure (millions of US dollars),TF,,688,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Kenya,404,2021,Tourism expenditure (millions of US dollars),TF,,1222,Excluding nationals residing abroad.;Arrivals of non-resident visitors from all border entry points.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Kiribati,296,2021,Tourism expenditure (millions of US dollars),TF,,0,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Kuwait,414,2021,Tourism expenditure (millions of US dollars),THS,,708,Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Kyrgyzstan,417,2021,Tourism expenditure (millions of US dollars),VF,,259,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Lao People's Dem. Rep.,418,2021,Tourism expenditure (millions of US dollars),TF,,6,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Latvia,428,2005,Tourism expenditure (millions of US dollars),TF,,446,Non-resident departures. Survey of persons crossing the state border.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Lebanon,422,2021,Tourism expenditure (millions of US dollars),TF,,3162,"Excluding the Lebanon, Syria and Palestine nationalities.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Lesotho,426,2021,Tourism expenditure (millions of US dollars),TF,,8,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Liberia,430,2019,Tourism expenditure (millions of US dollars),,,2,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Libya,434,2020,Tourism expenditure (millions of US dollars),TF,,93,Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Liechtenstein,438,2021,Tourist/visitor arrivals (thousands),TCE,,70,Excluding long term tourists on campgrounds and in holiday flats.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Lithuania,440,2021,Tourism expenditure (millions of US dollars),TF,,585,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Luxembourg,442,2021,Tourism expenditure (millions of US dollars),TCE,,5584,"Non-resident tourists staying in all types of accommodation establishments.;Including youth hostels, tourist private accommodation and others.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Madagascar,450,2021,Tourism expenditure (millions of US dollars),TF,,111,Arrivals of non-resident tourists by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Malawi,454,2021,Tourism expenditure (millions of US dollars),TF,,29,Departures.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Malaysia,458,2021,Tourism expenditure (millions of US dollars),TF,,116,Including Singapore residents crossing the frontier by road through Johore Causeway.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Maldives,462,2021,Tourism expenditure (millions of US dollars),TF,,3490,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Mali,466,2020,Tourism expenditure (millions of US dollars),TF,,82,Arrivals by air only (Bamako-Sénou airport).,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Malta,470,2021,Tourism expenditure (millions of US dollars),TF,,772,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Marshall Islands,584,2020,Tourism expenditure (millions of US dollars),TF,,4,Data refer to fiscal years ending 30 September.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Martinique,474,2021,Tourism expenditure (millions of US dollars),TF,,283,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Mauritania,478,2021,Tourism expenditure (millions of US dollars),,,7,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Mauritius,480,2021,Tourism expenditure (millions of US dollars),TF,,383,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Mexico,484,2021,Tourism expenditure (millions of US dollars),TF,,20554,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Micronesia (Fed. States of),583,2010,Tourism expenditure (millions of US dollars),TF,,24,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Monaco,492,2021,Tourist/visitor arrivals (thousands),THS,,218,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Mongolia,496,2021,Tourism expenditure (millions of US dollars),TF,,34,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Montenegro,499,2021,Tourism expenditure (millions of US dollars),TCE,,902,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Montserrat,500,2021,Tourism expenditure (millions of US dollars),TF,,2,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Morocco,504,2021,Tourism expenditure (millions of US dollars),TF,,4641,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Mozambique,508,2021,Tourism expenditure (millions of US dollars),TF,,188,The data of all the border posts of the country are used.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Myanmar,104,2019,Tourism expenditure (millions of US dollars),TF,,2501,Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Namibia,516,2021,Tourism expenditure (millions of US dollars),TF,,143,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Nauru,520,2010,Tourism expenditure (millions of US dollars),,,1,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Nepal,524,2021,Tourism expenditure (millions of US dollars),TF,,176,Including arrivals from India.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Netherlands (Kingdom of the),528,2021,Tourism expenditure (millions of US dollars),TCE,,10535,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
New Caledonia,540,2010,Tourism expenditure (millions of US dollars),TF,,129,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
New Zealand,554,2021,Tourism expenditure (millions of US dollars),TF,,2875,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Nicaragua,558,2021,Tourism expenditure (millions of US dollars),TF,,184,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Niger,562,2020,Tourism expenditure (millions of US dollars),TF,,97,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Nigeria,566,2021,Tourism expenditure (millions of US dollars),TF,,265,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Niue,570,2010,Tourism expenditure (millions of US dollars),TF,,2,Including Niueans residing usually in New Zealand.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
North Macedonia,807,2021,Tourism expenditure (millions of US dollars),TCE,,387,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Northern Mariana Islands,580,1995,Tourism expenditure (millions of US dollars),VF,,655,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Norway,578,2021,Tourism expenditure (millions of US dollars),TCE,,2310,Non-resident tourists staying in all types of accommodation establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Oman,512,2021,Tourism expenditure (millions of US dollars),TF,,511,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Other non-specified areas,158,2021,Tourism expenditure (millions of US dollars),VF,,901,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Pakistan,586,2021,Tourism expenditure (millions of US dollars),TF,,884,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Palau,585,2010,Tourism expenditure (millions of US dollars),TF,,76,Data refer to fiscal years ending 30 September.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Panama,591,2021,Tourism expenditure (millions of US dollars),TF,,3607,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
Papua New Guinea,598,2010,Tourism expenditure (millions of US dollars),TF,,2,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
